t_ms,neuron_id,field,value
13,32,Vm_mV,-60.0
13,33,Vm_mV,-60.0
13,34,Vm_mV,-60.0
14,0,Vm_mV,-60.0
14,1,Vm_mV,-60.0
14,2,Vm_mV,-60.0
14,3,Vm_mV,-60.0
14,4,Vm_mV,-60.0
14,5,Vm_mV,-60.0
14,6,Vm_mV,-60.0
14,7,Vm_mV,-60.0
14,8,Vm_mV,-60.0
14,9,Vm_mV,-60.0
14,10,Vm_mV,-60.0
14,11,Vm_mV,-60.0
14,12,Vm_mV,-60.0
14,13,Vm_mV,-60.0
14,14,Vm_mV,-60.0
14,15,Vm_mV,-60.0
14,16,Vm_mV,-60.0
14,17,Vm_mV,-60.0
14,18,Vm_mV,-60.0
14,19,Vm_mV,-60.0
14,20,Vm_mV,-60.0
14,21,Vm_mV,-60.0
14,22,Vm_mV,-60.0
14,23,Vm_mV,-60.0
14,24,Vm_mV,-60.0
14,25,Vm_mV,-60.0
14,26,Vm_mV,-60.0
14,27,Vm_mV,-60.0
14,28,Vm_mV,-60.0
14,29,Vm_mV,-60.0
14,30,Vm_mV,-60.0
14,31,Vm_mV,-60.0
14,32,Vm_mV,-60.0
14,33,Vm_mV,-60.0
14,34,Vm_mV,-60.0
15,0,Vm_mV,-60.0
15,1,Vm_mV,-60.0
15,2,Vm_mV,-60.0
15,3,Vm_mV,-60.0
15,4,Vm_mV,-60.0
15,5,Vm_mV,-60.0
15,6,Vm_mV,-60.0
15,7,Vm_mV,-60.0
15,8,Vm_mV,-60.0
15,9,Vm_mV,-60.0
15,10,Vm_mV,-60.0
15,11,Vm_mV,-60.0
15,12,Vm_mV,-60.0
15,13,Vm_mV,-60.0
15,14,Vm_mV,-60.0
15,15,Vm_mV,-60.0
15,16,Vm_mV,-60.0
15,17,Vm_mV,-60.0
15,18,Vm_mV,-60.0
15,19,Vm_mV,-60.0
15,20,Vm_mV,-60.0
15,21,Vm_mV,-60.0
15,22,Vm_mV,-60.0
15,23,Vm_mV,-60.0
15,24,Vm_mV,-60.0
15,25,Vm_mV,-60.0
15,26,Vm_mV,-60.0
15,27,Vm_mV,-60.0
15,28,Vm_mV,-60.0
15,29,Vm_mV,-60.0
15,30,Vm_mV,-60.0
15,31,Vm_mV,-60.0
15,32,Vm_mV,-60.0
15,33,Vm_mV,-60.0
15,34,Vm_mV,-60.0
16,0,Vm_mV,-60.0
16,1,Vm_mV,-60.0
16,2,Vm_mV,-60.0
16,3,Vm_mV,-60.0
16,4,Vm_mV,-60.0
16,5,Vm_mV,-60.0
16,6,Vm_mV,-60.0
16,7,Vm_mV,-60.0
16,8,Vm_mV,-60.0
16,9,Vm_mV,-60.0
16,10,Vm_mV,-60.0
16,11,Vm_mV,-60.0
16,12,Vm_mV,-60.0
16,13,Vm_mV,-60.0
16,14,Vm_mV,-60.0
16,15,Vm_mV,-60.0
16,16,Vm_mV,-60.0
16,17,Vm_mV,-60.0
16,18,Vm_mV,-60.0
16,19,Vm_mV,-60.0
16,20,Vm_mV,-60.0
16,21,Vm_mV,-60.0
16,22,Vm_mV,-60.0
16,23,Vm_mV,-60.0
16,24,Vm_mV,-60.0
16,25,Vm_mV,-60.0
16,26,Vm_mV,-60.0
16,27,Vm_mV,-60.0
16,28,Vm_mV,-60.0
16,29,Vm_mV,-60.0
16,30,Vm_mV,-60.0
16,31,Vm_mV,-60.0
16,32,Vm_mV,-60.0
16,33,Vm_mV,-60.0
16,34,Vm_mV,-60.0
17,0,Vm_mV,-60.0
17,1,Vm_mV,-60.0
17,2,Vm_mV,-60.0
17,3,Vm_mV,-60.0
17,4,Vm_mV,-60.0
17,5,Vm_mV,-60.0
17,6,Vm_mV,-60.0
17,7,Vm_mV,-60.0
17,8,Vm_mV,-60.0
17,9,Vm_mV,-60.0
17,10,Vm_mV,-60.0
17,11,Vm_mV,-60.0
17,12,Vm_mV,-60.0
17,13,Vm_mV,-60.0
17,14,Vm_mV,-60.0
17,15,Vm_mV,-60.0
17,16,Vm_mV,-60.0
17,17,Vm_mV,-60.0
17,18,Vm_mV,-60.0
17,19,Vm_mV,-60.0
17,20,Vm_mV,-60.0
17,21,Vm_mV,-60.0
17,22,Vm_mV,-60.0
17,23,Vm_mV,-60.0
17,24,Vm_mV,-60.0
17,25,Vm_mV,-60.0
17,26,Vm_mV,-60.0
17,27,Vm_mV,-60.0
17,28,Vm_mV,-60.0
17,29,Vm_mV,-60.0
17,30,Vm_mV,-60.0
17,31,Vm_mV,-60.0
17,32,Vm_mV,-60.0
17,33,Vm_mV,-60.0
17,34,Vm_mV,-60.0
18,0,Vm_mV,-60.0
18,1,Vm_mV,-60.0
18,2,Vm_mV,-60.0
18,3,Vm_mV,-60.0
18,4,Vm_mV,-60.0
18,5,Vm_mV,-60.0
18,6,Vm_mV,-60.0
18,7,Vm_mV,-60.0
18,8,Vm_mV,-60.0
18,9,Vm_mV,-60.0
18,10,Vm_mV,-60.0
18,11,Vm_mV,-60.0
18,12,Vm_mV,-60.0
18,13,Vm_mV,-60.0
18,14,Vm_mV,-60.0
18,15,Vm_mV,-60.0
18,16,Vm_mV,-60.0
18,17,Vm_mV,-60.0
18,18,Vm_mV,-60.0
18,19,Vm_mV,-60.0
18,20,Vm_mV,-60.0
18,21,Vm_mV,-60.0
18,22,Vm_mV,-60.0
18,23,Vm_mV,-60.0
18,24,Vm_mV,-60.0
18,25,Vm_mV,-60.0
18,26,Vm_mV,-60.0
18,27,Vm_mV,-60.0
18,28,Vm_mV,-60.0
18,29,Vm_mV,-60.0
18,30,Vm_mV,-60.0
18,31,Vm_mV,-60.0
18,32,Vm_mV,-60.0
18,33,Vm_mV,-60.0
18,34,Vm_mV,-60.0
19,0,Vm_mV,-60.0
19,1,Vm_mV,-60.0
19,2,Vm_mV,-60.0
19,3,Vm_mV,-60.0
19,4,Vm_mV,-60.0
19,5,Vm_mV,-60.0
19,6,Vm_mV,-60.0
19,7,Vm_mV,-60.0
19,8,Vm_mV,-60.0
19,9,Vm_mV,-60.0
19,10,Vm_mV,-60.0
19,11,Vm_mV,-60.0
19,12,Vm_mV,-60.0
19,13,Vm_mV,-60.0
19,14,Vm_mV,-60.0
19,15,Vm_mV,-60.0
19,16,Vm_mV,-60.0
19,17,Vm_mV,-60.0
19,18,Vm_mV,-60.0
19,19,Vm_mV,-60.0
19,20,Vm_mV,-60.0
19,21,Vm_mV,-60.0
19,22,Vm_mV,-60.0
19,23,Vm_mV,-60.0
19,24,Vm_mV,-60.0
19,25,Vm_mV,-60.0
19,26,Vm_mV,-60.0
19,27,Vm_mV,-60.0
19,28,Vm_mV,-60.0
19,29,Vm_mV,-60.0
19,30,Vm_mV,-60.0
19,31,Vm_mV,-60.0
